Направление,Наименование источника,Ссылка,Комментарии,Категория,Тип источника,Страна,Список
1.Маркетинг и реклама,Мерчандайзинг.ру,https://merchandising.ru/news/,"Краткие новостные заметки о конкретных событиях, открытиях магазинов, изменениях в законодательстве (например, классификатор профессий) и локальных рыночных данных",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
1.Маркетинг и реклама,Ритейл.ру,https://www.retail.ru,"Структурированная информация о рынке: персоналии, события, новости, аналитика",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
1.Маркетинг и реклама,Ритейлер,https://retailer.ru/news/,"Освещает все аспекты ритейла: от новостей компаний, технологий и e-commerce до законодательства, экономики и интервью с топ-менеджерами. Содержит архив исследований.",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
1.Маркетинг и реклама,New-retail,https://new-retail.ru/,"Глубокие аналитические статьи, обзоры трендов и прогнозы, особенно в сфере e-commerce, цифровизации и потребительского поведения. ",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
1.Маркетинг и реклама,Потребительское поведение; факты и тренды,https://t.me/c_behavior,Аналитический канал Дмитрия Фролова о потребительских и маркетинговых трендах.,Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
1.Маркетинг и реклама,MEDIA RESEARCHES,https://t.me/mediaresearchesanalytics,"Самые актуальные данные, исследования мира маркетинга и рекламы",Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
3.Производство,Гитхаб,GitHub.com,"open-source-проекты на разных языках, полноценная социальная сеть для разработчиков",Каталоги софта/техстеки,Website,Глобал,Рекомендованный список
5.IT/Ventures,Гитхаб,GitHub.com,"open-source-проекты на разных языках, полноценная социальная сеть для разработчиков",Каталоги софта/техстеки,Website,Глобал,Рекомендованный список
3.Производство,Кикстартер,kickstarter.com,Раннее выявление трендов и нишевых инноваций (концепции и прототипы),Каталог стартапов/проектов,Website,Глобал,Рекомендованный список
5.IT/Ventures,Кикстартер,kickstarter.com,Раннее выявление трендов и нишевых инноваций (концепции и прототипы),Каталог стартапов/проектов,Website,Глобал,Рекомендованный список
3.Производство,Хабр,habr.com,"Новости, аналитические статьи, мысли, связанных с информационными технологиями, бизнесом и интернетом.",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
5.IT/Ventures,Хабр,habr.com,"Новости, аналитические статьи, мысли, связанных с информационными технологиями, бизнесом и интернетом.",Отраслевой агрегатор новостей и аналитики,Website,Россия,Рекомендованный список
3.Производство,Хабр,https://t.me/s/habr_com,"Кейсы, новости",Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
5.IT/Ventures,Хабр,https://t.me/s/habr_com,"Кейсы, новости",Отраслевой агрегатор новостей и аналитики,Telegram,Россия,Рекомендованный список
5.IT/Ventures,Product Radar — лучшие стартапы России,https://t.me/productradar_official,Площадка для стартапов productradar.ru,Каталоги софта/техстеки,Telegram,Россия,Рекомендованный список
5.IT/Ventures,Product Hunt,https://www.producthunt.com/,платформы для запуска и поиска новых технологических продуктов,Каталоги софта/техстеки,Website,Глобал,Рекомендованный список
5.IT/Ventures,Y Combinator,https://www.ycombinator.com/companies,"Венчурный фонд, работающий в формате бизнес-инкубатора для небольших компаний в сфере информационных технологий",Каталог стартапов/проектов,Website,Глобал,Рекомендованный список
